Task,table path,table,task ID,type of task,repetation,Condition,Order,C_answer,Participant ID,c_answer_row,c_answer_col,end,text,ans_value,mouse_file
"For the cereals called ‘Almond Raisin’ and ‘Raisin Bran’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the cereals aloud once the screen becomes white. ",cereal.csv_zebra.png,cereal.csv,ce-2-4,finding proportinal difference,2,zebra,b-z-c-p,Potassium,3,1,#9,,,Potassium,58
"For the cereals called ‘Wheat Cream’ and ‘Apple Jacks’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.",cereal.csv_zebra.png,cereal.csv,ce-3-4,finding proportinal difference,3,zebra,b-z-c-p,Iron,3,1,#11,,,Iron,59
"For the cereals called ‘Cinnamon Toast’ and ‘Honey Nut’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.",cereal.csv_zebra.png,cereal.csv,ce-4-4,finding proportinal difference,4,zebra,b-z-c-p,Vitamins,3,1,#12,TRUE,"You have finished one condition for the task.
",Vitamins,60
"For the Animes called ‘Black Cats’ and ‘Attacking Titan’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Animes aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-1-4,finding proportinal difference,1,color,b-z-c-p,Completed,3,1,#9,,,Completed,61
"For the Animes called ‘Connect Angel’ and ‘Beating Music’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Animes aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-2-4,finding proportinal difference,2,color,b-z-c-p,On-Hold,3,1,#10,,,On-Hold,62
"For the Animes called ‘Legendary Forks’ and ‘Great Teacher’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-3-4,finding proportinal difference,3,color,b-z-c-p,Plan to Watch,3,1,#12,,,Plan to Watch,63
"For the Animes called ‘Ultimate horror’ and ‘Different Life’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-4-4,finding proportinal difference,4,color,b-z-c-p,Dropped,3,1,#11,TRUE,"You have finished one condition for the task.
",Dropped,64
"For the films called ‘Hot Pursuit’ and ‘Mapping Stars’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white. ",movie.csv_plain.png,movie.csv,m-1-4,finding proportinal difference,1,plain,b-z-c-p,Roger Ebert,3,1,#9,,,Roger Ebert,65
"For the films called ‘Saint Laurent’ and ‘Next Door’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the films aloud once the screen becomes white.",movie.csv_plain.png,movie.csv,m-2-4,finding proportinal difference,2,plain,b-z-c-p,Fandango,3,1,#12,,,Fandango,66
"For the films called ‘Water Diviner’ and ‘Black White’, find in which column in the last four columns of the table they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_plain.png,movie.csv,m-3-4,finding proportinal difference,3,plain,b-z-c-p,PluggedIn,3,1,#10,,,PluggedIn,67
"For the films called ‘My Dreams’ and ‘Tomorrow land’, find in which column in the last four columns of the table  they are most different (proportionally). 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white. ",movie.csv_plain.png,movie.csv,m-4-4,finding proportinal difference,4,plain,b-z-c-p,Naver,3,1,#11,TRUE,"You have finished the experiment, please ramain on the seat and wait for experimenter's response.",Naver,68
